,性别,季节,生产日期,类型
空,男,春秋,2017/8/1,裤子/九分裤
男九分裤,男,春秋,2017/8/1,裤子/九分裤
男卫衣A5,男,春秋,2018/9/10,上衣/卫衣
女九分喇叭,女,春秋,2017/8/1,裤子/九分裤/喇叭裤
男毛衣,男,春秋,2017/8/1,上衣/毛衣
女卫衣A3#女卫衣A1,女,春秋,2018/9/10,上衣/卫衣
打底衫,女,春秋,2017/8/1,上衣/打底衫
女薄棉外套,女,春秋,2017/8/1,上衣/外套
男抓卫衣,男,春秋,2017/8/1,上衣/卫衣
男开衫卫衣,男,春秋,2017/8/1,上衣/卫衣
呢外套,女,春秋,2017/8/1,上衣/外套
女打底毛衣,女,春秋,2017/8/1,上衣/毛衣
加绒外套,女,春秋,2017/8/1,上衣/外套
女其它卫衣,女,春秋,2017/8/1,上衣/卫衣
女开衫毛衣,女,春秋,2017/8/1,上衣/毛衣
男卫衣A1,男,春秋,2018/9/10,上衣/卫衣
女卫衣A1,女,春秋,2018/9/10,上衣/卫衣
男卫衣A2,男,春秋,2018/9/10,上衣/卫衣
针织裤,女,春秋,2017/8/1,裤子/针织
男中袖T恤,男,春秋,2017/8/1,上衣/T恤
女牛仔直筒裤,女,春秋,2017/8/1,裤子/牛仔裤
开衫毛衣,女,春秋,2017/8/1,上衣/毛衣
中袖衫,女,春秋,2017/8/1,上衣
男卫衣,男,春秋,2017/8/1,上衣/卫衣
女抓绒卫衣,女,春秋,2017/8/1,上衣/卫衣
女牛仔九分裤,女,春秋,2017/8/1,裤子/牛仔裤/九分裤
牛仔九分喇叭裤,女,春秋,2017/8/1,裤子/牛仔裤/九分裤/喇叭裤
男毛衣A3,男,春秋,2018/9/10,上衣/毛衣
开衫卫衣,女,春秋,2017/8/1,上衣/卫衣
女中袖毛衣,女,春秋,2017/8/1,上衣/毛衣
女外套,女,春秋,2017/8/1,上衣/外套
男外套A4,男,春秋,2018/9/10,上衣/外套
男卫衣A4,男,春秋,2018/9/10,上衣/卫衣
女九分裤,女,春秋,2017/8/1,裤子/九分裤
女其他卫衣,女,春秋,2017/8/1,上衣/卫衣
女防晒服,女,春秋,2017/8/1,上衣/防晒服
女卫衣A3#A1,女,春秋,2018/9/10,上衣/卫衣
男外套A4#男外套C1,男,春秋,2018/9/10,上衣/外套
女毛绒家居服,女,春秋,2017/8/1,上衣/家居服
家居服,男,春秋,2017/8/1,上衣/家居服
抓绒长裤,女,春秋,2017/8/1,裤子
九分阔腿,女,春秋,2017/8/1,裤子/九分裤
男防晒服,男,春秋,2017/8/1,上衣/防晒服
防晒服,女,春秋,2017/8/1,上衣/防晒服
女卫衣A2,女,春秋,2018/9/10,上衣/卫衣
女家居服,女,春秋,2017/8/1,上衣/家居服
抓绒牛仔裤,女,春秋,2017/8/1,裤子/牛仔裤
男棉背心,男,春秋,2017/8/1,上衣/背心
毛衣,女,春秋,2017/8/1,上衣/毛衣
女牛仔喇叭裤,女,春秋,2017/8/1,裤子/牛仔裤/喇叭裤
抓绒开衫卫衣,女,春秋,2017/8/1,上衣/卫衣
女毛绒居家服,女,春秋,2017/8/1,上衣/家居服
牛九喇叭,女,春秋,2017/8/1,裤子/喇叭裤
抓绒打底裤,女,春秋,2017/8/1,裤子/打底裤
开衫,女,春秋,2017/8/1,上衣
中袖开衫毛衣,女,春秋,2017/8/1,上衣/毛衣
男卫衣A6,男,春秋,2018/9/10,上衣/卫衣
九分喇叭裤,女,春秋,2017/8/1,裤子/喇叭裤
女打底裤,女,春秋,2017/8/1,裤子/打底裤
抓绒针织裤,女,春秋,2017/8/1,裤子/针织裤
男牛仔裤,男,春秋,2017/8/1,裤子/牛仔裤
加绒卫衣,女,春秋,2017/8/1,上衣/卫衣
深秋毛衣,女,春秋,2017/8/1,上衣/毛衣
衬衣C5,女,春秋,2018/9/10,上衣/衬衣
男其它毛衣,男,春秋,2017/8/1,上衣/毛衣
女半裙,女,春秋,2017/8/1,裙子
男长裤,男,春秋,2017/8/1,裤子
加厚长长裤,女,春秋,2017/8/1,裤子
女外套A3,女,春秋,2018/9/10,上衣/外套
外套,男,春秋,2017/9/10,上衣/外套
男其它卫衣,男,春秋,2017/8/1,上衣/卫衣
女棉背心,女,春秋,2017/8/1,上衣/背心
女连衣裙,女,春秋,2017/8/1,裙子/连衣裙
男外套C1,男,春秋,2018/9/10,上衣/外套
其它衬女衣,女,春秋,2017/8/1,上衣
薄棉外套,女,春秋,2017/8/1,上衣/外衣
中袖衬衣,女,春秋,2017/8/1,上衣/衬衣
牛仔阔腿,女,春秋,2017/8/1,裤子/牛仔裤
男牛仔九分裤,男,春秋,2017/8/1,裤子/牛仔裤/九分裤
女牛仔九分喇叭裤,女,春秋,2017/8/1,裤子/牛仔裤/九分裤/喇叭裤
牛仔直筒裤,女,春秋,2017/8/1,裤子/牛仔裤
女牛仔直筒,女,春秋,2017/8/1,裤子/牛仔裤
男抓绒卫衣,男,春秋,2017/8/1,上衣/卫衣
男外套A2,男,春秋,2018/9/10,上衣/外套
九分阔腿裤,女,春秋,2017/8/1,裤子/九分裤/阔腿裤
男外套A5,男,春秋,2018/9/10,上衣/外套
男外套A2#男外套A5,男,春秋,2018/9/10,上衣/外套
牛仔阔腿裤,女,春秋,2017/8/1,裤子/牛仔裤/阔腿裤
男卫衣A1#男卫衣A3,男,春秋,2018/9/10,上衣/卫衣
男针织裤,男,春秋,2017/8/1,裤子/针织裤
男牛仔九裤,男,春秋,2017/8/1,裤子/牛仔裤
毛绒外套,女,春秋,2017/8/1,上衣/外套
加绒,女,春秋,2017/8/1,上衣/外套
女九分喇叭裤,女,春秋,2017/8/1,裤子/九分裤/喇叭裤
打底毛衣,女,春秋,2017/8/1,上衣/毛衣/打底
九分喇叭,女,春秋,2017/8/1,裤子/九分裤/喇叭裤
男薄棉外套,男,春秋,2017/8/1,上衣/外套
其它外套,男,春秋,2017/8/1,上衣/外套
女卫衣A3,女,春秋,2018/9/10,上衣/卫衣
男运动裤,男,春秋,2017/8/1,裤子/运动裤
女毛线背心,女,春秋,2017/8/1,上衣/背心
女羽绒服,女,冬,2017/8/1,上衣/羽绒服
女毛衣,女,春秋,2017/8/1,上衣/毛衣
女衬衣C5,女,春秋,2018/9/10,上衣/衬衣
男抓、加绒卫衣,男,春秋,2017/8/1,上衣/卫衣
女中袖T恤,女,春秋,2017/8/1,上衣/T恤
男牛仔九分,男,春秋,2017/8/1,裤子/牛仔裤/九分裤
女针织裤,女,春秋,2017/8/1,裤子/针织裤
底衫,女,春秋,2017/8/1,上衣/打底衫
男卫衣A2#男卫衣A4,男,春秋,2018/9/10,上衣/卫衣
女外套A4,女,春秋,2018/9/10,上衣/外套
加厚长裤,女,春秋,2017/8/1,裤子
男T恤,男,春秋,2017/8/1,上衣/T恤
女牛仔裤,女,春秋,2017/8/1,裤子/牛仔裤
牛仔外套,女,春秋,2017/8/1,上衣/外套/牛仔
男底衫,男,春秋,2017/8/1,上衣/打底衫
男卫衣A3,男,春秋,2018/9/10,上衣/卫衣
其它卫衣,男,春秋,2017/9/10,上衣/卫衣
男羽绒服,男,冬,2017/8/1,上衣/羽绒服
女中袖衬衣,女,春秋,2017/8/1,上衣/衬衣
女运动九分裤,女,春秋,2017/8/1,裤子/九分裤/运动
女卫衣,女,春秋,2017/8/1,上衣/卫衣
男T恤,男,春秋,2017/8/1,上衣/T恤
中袖T恤,男,春秋,2017/8/1,上衣/T恤
长裤,男,春秋,2017/8/1,裤子
牛仔裤,男,春秋,2017/8/1,裤子/牛仔裤
T恤,男,春秋,2017/8/1,上衣/T恤
男抓,男,春秋,2017/8/1,上衣
衬衣,男,春秋,2017/8/1,上衣/衬衣
其它衬衣,女,春秋,2017/8/1,上衣/衬衣
矩框,女,春秋,2017/8/1,矩框